bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
12,624460,779,0.0012832230514212267,0.0012474778208372034,0.0010764708317807313,0.0017808278677843895,0.0010764708317807313,0.0017887186752855754,4.530226713163838e-05,-3.5745230584023234e-05,-0.7890384487856975,train (in-sample),isotonic
13,348904,644,0.0018161003646181252,0.0018457799280031184,0.0017887186752855754,0.0018652587651354683,0.0017887186752855754,0.0021348329232892048,7.208123663930567e-05,2.967956338499329e-05,0.4117515843063258,train (in-sample),isotonic
14,445766,1098,0.002291973892830195,0.0024631757469165435,0.0021348329232892048,0.0031290001422272793,0.0021348329232892048,0.003142471563524195,7.162309698395906e-05,0.00017120185408634869,2.39031627080705,train (in-sample),isotonic
15,672596,3015,0.004412941369985354,0.00448263147565552,0.003142471563524195,0.012256669069935111,0.003142471563524195,0.012256669069935111,8.082143552783102e-05,6.969010567016605e-05,0.8622725544904251,train (in-sample),isotonic
0,62064,0,0.0,0.0,0.0,0.0,0.0,1.566301544373323e-05,0.0,0.0,,holdout (in-time),isotonic
1,248658,5,2.0107939418800124e-05,2.010793941880012e-05,1.566301544373323e-05,3.501155381275821e-05,1.566301544373323e-05,5.10083546315586e-05,8.992453474358604e-06,-3.3881317890172014e-21,-3.767750145917617e-16,holdout (in-time),isotonic
2,372488,19,5.10083546315586e-05,5.10083546315586e-05,5.10083546315586e-05,5.10083546315586e-05,5.10083546315586e-05,7.23882325689136e-05,1.1701820654602103e-05,0.0,0.0,holdout (in-time),isotonic
3,69072,5,7.23882325689136e-05,7.23882325689136e-05,7.23882325689136e-05,7.23882325689136e-05,7.23882325689136e-05,0.00012949453964691157,3.2371830025635557e-05,0.0,0.0,holdout (in-time),isotonic
4,139002,18,0.00012949453964691157,0.00012949453964691157,0.00012949453964691157,0.00012949453964691157,0.00012949453964691157,0.00014877508513240983,3.052017941342109e-05,0.0,0.0,holdout (in-time),isotonic
5,181482,27,0.00014877508513240983,0.00014877508513240983,0.00014877508513240983,0.00014877508513240983,0.00014877508513240983,0.00015781001777992866,2.862964855643847e-05,0.0,0.0,holdout (in-time),isotonic
6,127632,22,0.00017237056537545444,0.00017237056537545444,0.00015781001777992866,0.00021484914520732943,0.00015781001777992866,0.00024084446952285274,3.674636061170998e-05,0.0,0.0,holdout (in-time),isotonic
7,253015,68,0.0002687587692429303,0.0002687587692429303,0.00024084446952285274,0.00030642660154327575,0.00024084446952285274,0.0003634161114476075,3.25874080824363e-05,0.0,0.0,holdout (in-time),isotonic
8,95488,39,0.00040842828418230563,0.00040842828418230563,0.0003634161114476075,0.00042419015030470994,0.0003634161114476075,0.00046835273651813186,6.538750996192527e-05,0.0,0.0,holdout (in-time),isotonic
9,74809,37,0.000494592896576615,0.0004945928965766151,0.00046835273651813186,0.0006195019204559534,0.00046835273651813186,0.0006713984270093995,8.1290461023211e-05,1.0842021724855044e-19,1.3337384962990067e-15,holdout (in-time),isotonic
10,192773,137,0.0007106804376131512,0.0007106804376131512,0.0006713984270093995,0.000968147933004163,0.0006713984270093995,0.0009825876331063482,6.0695948192292695e-05,0.0,0.0,holdout (in-time),isotonic
11,87524,86,0.0009825876331063482,0.000982587633106348,0.0009825876331063482,0.0009825876331063482,0.0009825876331063482,0.0010764708317807313,0.00010590308149006843,-2.168404344971009e-19,-2.0475365914393733e-15,holdout (in-time),isotonic
12,154224,198,0.0012838468720821662,0.0012838468720821662,0.0010764708317807313,0.0017808278677843895,0.0010764708317807313,0.0017887186752855754,9.118043699466739e-05,0.0,0.0,holdout (in-time),isotonic
13,88096,160,0.0018162005085361425,0.0018162005085361425,0.0017887186752855754,0.0018652587651354683,0.0017887186752855754,0.0021348329232892048,0.00014345281011422946,0.0,0.0,holdout (in-time),isotonic
14,111080,255,0.002295642779978394,0.002295642779978394,0.0021348329232892048,0.0031290001422272793,0.0021348329232892048,0.003142471563524195,0.0001435936230960568,0.0,0.0,holdout (in-time),isotonic
15,169648,758,0.004434921902161928,0.004468075073092521,0.003142471563524195,0.012256669069935111,0.003142471563524195,0.012256669069935111,0.00016132565731750382,3.315317093059277e-05,0.2055046387652044,holdout (in-time),isotonic
0,354125,7,2.0323018799843706e-05,1.9767031415460642e-05,4.80533003610617e-07,3.477905556792393e-05,4.80533003610617e-07,3.477905884210486e-05,7.5755017447551325e-06,-5.559873843830641e-07,-0.07339281319128461,test (out-of-time),raw
1,354121,15,4.857836118016387e-05,4.235840291877635e-05,3.47790883097332e-05,6.242916424525902e-05,3.477905884210486e-05,6.242922245291993e-05,1.1712107229194291e-05,-6.21995826138752e-06,-0.5310708090072198,test (out-of-time),raw
2,354127,49,7.675725067361198e-05,0.00013836843844157606,6.242922245291993e-05,9.148126264335588e-05,6.242922245291993e-05,9.148128665401601e-05,1.472188825291414e-05,6.161118776796408e-05,4.185005802891377,test (out-of-time),raw
3,354123,76,0.00010709877290140349,0.00021461469602369798,9.148134267888963e-05,0.0001232535723829642,9.148128665401601e-05,0.00012325368879828602,1.738969330583656e-05,0.00010751592312229448,6.1827383169666685,test (out-of-time),raw
4,354125,127,0.00014053897036636788,0.00035863042710907166,0.00012325368879828602,0.00015853536024224013,0.00012325368879828602,0.00015853543300181627,1.9920010827931192e-05,0.00021809145674270378,10.948360351135102,test (out-of-time),raw
5,354124,198,0.00017816240969317695,0.0005591261817894297,0.00015853550576139241,0.00019876519218087196,0.00015853543300181627,0.00019876529695466162,2.2428057844059647e-05,0.00038096377209625277,16.98603484729088,test (out-of-time),raw
6,354124,283,0.00022144320390138792,0.0007991550982141849,0.0001987653668038547,0.00024539895821362734,0.00019876529695466162,0.00024539928417652854,2.5003764884015525e-05,0.000577711894312797,23.104996267266863,test (out-of-time),raw
7,354122,393,0.00027188428183828276,0.0011097870225515501,0.00024539942387491465,0.00029987067682668567,0.00024539928417652854,0.00029987096786499023,2.7704897601394915e-05,0.0008379027407132674,30.24384903956764,test (out-of-time),raw
8,354126,468,0.00033112796859300194,0.0013215635112925907,0.00029987096786499023,0.00036427061422728,0.00029987096786499023,0.0003642709285486489,3.057363735992978e-05,0.0009904355426995888,32.39508374615796,test (out-of-time),raw
